COMPANY ID,  MAIN TYPE  ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,03-JAN-22,      9.00,      8.20,      8.50,      8.40,67,"195,403","1,727,142.60"
AAF,N,0000,ASIA ASSET,04-JAN-22,      8.50,      8.10,      8.50,      8.50,53,"132,677","1,114,958.40"
AAF,N,0000,ASIA ASSET,05-JAN-22,      9.60,      8.50,      8.90,      8.50,378,"1,393,358","12,749,459.80"
AAF,N,0000,ASIA ASSET,06-JAN-22,     11.00,      8.70,     10.20,      9.00,460,"2,087,387","20,763,503.00"
AAF,N,0000,ASIA ASSET,07-JAN-22,     10.50,      9.50,     10.10,     10.40,160,"580,725","5,899,162.20"
AAF,N,0000,ASIA ASSET,10-JAN-22,     10.20,      9.80,      9.90,     10.20,70,"220,088","2,199,627.50"
AAF,N,0000,ASIA ASSET,11-JAN-22,     10.10,      9.80,     10.00,      9.80,55,"129,268","1,279,904.40"
AAF,N,0000,ASIA ASSET,12-JAN-22,     10.10,      9.70,      9.90,     10.00,35,"93,466","924,771.20"
AAF,N,0000,ASIA ASSET,13-JAN-22,      9.90,      9.40,      9.50,      9.60,41,"90,181","858,591.50"
AAF,N,0000,ASIA ASSET,18-JAN-22,      9.90,      9.10,      9.20,      9.50,78,"161,432","1,514,833.80"
AAF,N,0000,ASIA ASSET,19-JAN-22,      9.50,      9.20,      9.50,      9.30,28,"30,728","288,151.20"
AAF,N,0000,ASIA ASSET,20-JAN-22,      9.50,      9.20,      9.30,      9.50,20,"67,459","636,286.10"
AAF,N,0000,ASIA ASSET,21-JAN-22,      9.40,      9.00,      9.10,      9.30,37,"172,824","1,572,894.50"
AAF,N,0000,ASIA ASSET,24-JAN-22,      9.20,      9.00,      9.00,      9.10,14,"15,501","139,962.00"
AAF,N,0000,ASIA ASSET,25-JAN-22,      9.00,      8.90,      8.90,      9.00,34,"58,976","527,236.40"
AAF,N,0000,ASIA ASSET,26-JAN-22,      9.10,      8.20,      9.00,      8.80,27,"40,917","358,734.20"
AAF,N,0000,ASIA ASSET,27-JAN-22,      9.20,      8.50,      8.70,      8.70,35,"53,126","468,309.20"
AAF,N,0000,ASIA ASSET,28-JAN-22,      9.00,      8.70,      8.70,      8.80,27,"56,864","499,773.80"
AAF,N,0000,ASIA ASSET,31-JAN-22,      9.30,      8.70,      8.80,      9.00,79,"106,854","944,293.50"
AAF,N,0000,ASIA ASSET,01-FEB-22,      9.50,      8.70,      8.80,      8.90,28,"52,766","468,428.20"
AAF,N,0000,ASIA ASSET,02-FEB-22,      9.00,      8.60,      8.70,      8.90,31,"160,774","1,388,123.20"
AAF,N,0000,ASIA ASSET,03-FEB-22,      9.20,      8.60,      8.80,      9.00,27,"40,633","365,732.40"
AAF,N,0000,ASIA ASSET,07-FEB-22,      9.20,      8.60,      9.00,      9.00,56,"93,849","834,674.30"
AAF,N,0000,ASIA ASSET,08-FEB-22,      9.20,      8.60,      8.60,      9.20,29,"45,975","398,297.40"
AAF,N,0000,ASIA ASSET,09-FEB-22,      9.10,      8.50,      8.70,      8.60,46,"17,985","155,025.10"
AAF,N,0000,ASIA ASSET,10-FEB-22,      8.90,      8.40,      8.90,      8.40,7,"1,559","13,725.10"
AAF,N,0000,ASIA ASSET,11-FEB-22,      8.80,      8.50,      8.60,      8.80,13,"13,080","111,959.00"
AAF,N,0000,ASIA ASSET,14-FEB-22,      8.80,      8.50,      8.50,      8.50,18,"33,450","284,625.00"
